LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.7 on Wed Oct 08 18:05:47 +0530 2025
 470 atoms
 460 bonds
 900 angles
 1260 dihedrals
 0 impropers
 2 atom types
 2 bond types
 3 angle types
 3 dihedral types
 0 improper types
 0 20  xlo xhi
 0 20   ylo yhi
 0 20   zlo zhi

# Pair Coeffs
#
# 1  C
# 2  H

# Bond Coeffs
#
# 1  C-C
# 2  C-H

# Angle Coeffs
#
# 1  C-C-C
# 2  C-C-H
# 3  H-C-H

# Dihedral Coeffs
#
# 1  C-C-C-C
# 2  C-C-C-H
# 3  H-C-C-H

 Masses

 1 12.010700 # C
 2 1.007940 # H

 Atoms # full

1	1	1	-0.18	8.348	2.878	5.433	#	C	UNL
2	1	1	-0.18	9.396	2.556	6.514	#	C	UNL
3	1	2	0.09	17.558001	3.933	20.013	#	H	UNL
4	1	2	0.09	17.624001	4.508	18.339001	#	H	UNL
5	1	2	0.09	16.377001	5.123	19.441999	#	H	UNL
6	1	2	0.09	7.623	2.064	5.344	#	H	UNL
7	1	2	0	7.81	3.796	5.68	#	H	UNL
8	1	2	0	8.832	3.014	4.464	#	H	UNL
9	1	1	-0.18	8.738	2.356	7.894	#	C	UNL
10	1	2	0.09	9.938	1.65	6.229	#	H	UNL
11	1	2	0.09	10.122	3.372	6.565	#	H	UNL
12	1	1	-0.18	9.79	2.037	8.977	#	C	UNL
13	1	2	0.09	8.014	1.539	7.838	#	H	UNL
14	1	2	0.09	8.192	3.262	8.172	#	H	UNL
15	1	1	-0.18	9.128	1.828	10.354	#	C	UNL
16	1	2	0.09	10.34	1.134	8.696	#	H	UNL
17	1	2	0.09	10.51	2.857	9.037	#	H	UNL
18	1	1	-0.18	10.178	1.514	11.441	#	C	UNL
19	1	2	0.09	8.575	2.73	10.633	#	H	UNL
20	1	2	0.09	8.41	1.006	10.293	#	H	UNL
21	1	1	-0.18	9.507	1.294	12.815	#	C	UNL
22	1	2	0.09	10.735	0.616	11.159	#	H	UNL
23	1	2	0.09	10.889	2.341	11.499	#	H	UNL
24	1	1	-0.18	10.509	0.884	13.917	#	C	UNL
25	1	2	0.09	8.976	2.2	13.119	#	H	UNL
26	1	2	0.09	8.759	0.503	12.719	#	H	UNL
27	1	1	-0.18	11.473	2.026	14.311	#	C	UNL
28	1	2	0.09	9.941	0.583	14.801	#	H	UNL
29	1	2	0.09	11.08	0.01	13.591	#	H	UNL
30	1	1	-0.18	12.367	1.614	15.499	#	C	UNL
31	1	2	0.09	12.106	2.29	13.461	#	H	UNL
32	1	2	0.09	10.895	2.914	14.583	#	H	UNL
33	1	1	-0.18	13.321	2.758	15.906	#	C	UNL
34	1	2	0.09	11.738	1.345	16.351999	#	H	UNL
35	1	2	0.09	12.951	0.73	15.228	#	H	UNL
36	1	1	-0.18	14.199	2.35	17.108	#	C	UNL
37	1	2	0.09	13.959	3.019	15.059	#	H	UNL
38	1	2	0.09	12.736	3.643	16.167	#	H	UNL
39	1	1	-0.18	15.143	3.497	17.525	#	C	UNL
40	1	2	0.09	13.558	2.08	17.952	#	H	UNL
41	1	2	0.09	14.79	1.469	16.846001	#	H	UNL
42	1	1	-0.18	16.013	3.093	18.733999	#	C	UNL
43	1	2	0.09	15.788	3.764	16.684999	#	H	UNL
44	1	2	0.09	14.552	4.381	17.782	#	H	UNL
